,Date,Open,High,Low,Close,Adj Close,Volume,id_apple,variation,weekday
0,2015-04-22,126.989998,128.869995,126.32,128.619995,118.363777,37654500,0,1.9787344602597339,2
1,2015-04-23,128.300003,130.419998,128.139999,129.669998,119.330048,45770900,1,1.7481973891764695,3
2,2015-04-24,130.490005,130.630005,129.229996,130.279999,119.891411,44525900,2,1.0717361604632958,4
3,2015-04-27,132.309998,133.130005,131.149994,132.649994,122.072395,96954200,3,1.4872762905702728,0
4,2015-04-28,134.46000700000002,134.53999299999998,129.570007,130.559998,120.149078,118924000,4,3.69405846483133,1
5,2015-04-29,130.16000400000001,131.58999599999999,128.300003,128.639999,118.38218700000002,63386100,5,2.500184740487401,2
6,2015-04-30,128.639999,128.639999,124.58000200000001,125.150002,115.170479,83195400,6,3.156092219807917,3
7,2015-05-01,126.099998,130.130005,125.300003,128.949997,118.66745800000001,58512600,7,3.7116743367527016,4
8,2015-05-04,129.5,130.570007,128.259995,128.699997,118.437393,50988300,8,1.7691750602418213,0
9,2015-05-05,128.149994,128.449997,125.779999,125.800003,115.76864599999999,49271400,9,2.078628308570527,1
10,2015-05-06,126.559998,126.75,123.360001,125.010002,115.04164899999999,72141000,10,2.674555424063119,2
11,2015-05-07,124.769997,126.08000200000001,124.019997,125.260002,115.753204,43940900,11,1.633887188548747,3
12,2015-05-08,126.68,127.620003,126.110001,127.620003,117.93409,55550400,12,1.1832016647108212,4
13,2015-05-11,127.389999,127.559998,125.629997,126.32,116.73275,42035800,13,1.5130142915179337,0
14,2015-05-12,125.599998,126.879997,124.82,125.870003,116.31691699999999,48160000,14,1.6235790106457915,1
15,2015-05-13,126.150002,127.190002,125.870003,126.010002,116.446297,34694200,15,1.0378166359333887,2
16,2015-05-14,127.410004,128.949997,127.160004,128.949997,119.16313899999999,45203500,16,1.3881295398556663,3
17,2015-05-15,129.070007,129.490005,128.21000700000002,128.770004,118.99681100000001,38208000,17,0.9884917372580052,4
18,2015-05-18,128.380005,130.720001,128.360001,130.190002,120.309013,50882900,18,1.8053855431044443,0
19,2015-05-19,130.690002,130.880005,129.639999,130.070007,120.19814299999999,44633200,19,0.9474373109933961,1
20,2015-05-20,130.0,130.979996,129.33999599999999,130.059998,120.188896,36454900,20,1.252099595422201,2
21,2015-05-21,130.070007,131.630005,129.830002,131.389999,121.417961,39730400,21,1.367471649036254,3
22,2015-05-22,131.600006,132.970001,131.399994,132.53999299999998,122.480698,45596000,22,1.180722710530779,4
23,2015-05-26,132.600006,132.91000400000001,129.119995,129.619995,119.782288,70697600,23,2.851560368623588,1
24,2015-05-27,130.33999599999999,132.259995,130.050003,132.03999299999998,122.018639,45833200,24,1.6709451712893226,2
25,2015-05-28,131.860001,131.949997,131.100006,131.779999,121.778351,30733300,25,0.6441765966845673,3
26,2015-05-29,131.229996,131.449997,129.899994,130.279999,120.39221200000001,50884500,26,1.179157881608779,4
27,2015-06-01,130.279999,131.389999,130.050003,130.53999299999998,120.63246200000002,32112800,27,1.0198614888489232,0
28,2015-06-02,129.860001,130.66000400000001,129.320007,129.96000700000002,120.09648100000001,33667600,28,1.0255602012686382,1
29,2015-06-03,130.66000400000001,130.940002,129.899994,130.119995,120.24434699999999,30983500,29,0.7942630090993892,2
30,2015-06-04,129.580002,130.580002,128.91000400000001,129.360001,119.542023,38450100,30,1.278907929561827,3
31,2015-06-05,129.5,129.690002,128.360001,128.649994,118.88591000000001,35626800,31,1.0255231548226682,4
32,2015-06-08,128.899994,129.21000700000002,126.83000200000001,127.800003,118.100426,52674800,32,1.8419664662660464,0
33,2015-06-09,126.699997,128.080002,125.620003,127.41999799999999,117.74926,56075400,33,1.9206737676347088,1
34,2015-06-10,127.91999799999999,129.33999599999999,127.849998,128.880005,119.09844199999999,39087300,34,1.1520009634142758,2
35,2015-06-11,129.179993,130.179993,128.479996,128.58999599999999,118.830467,35390900,35,1.3058819261113312,3
36,2015-06-12,128.190002,128.330002,127.110001,127.16999799999999,117.51824199999999,36886200,36,0.9506748079065801,4
37,2015-06-15,126.099998,127.239998,125.709999,126.91999799999999,117.287209,43988900,37,1.2024512920850594,0
38,2015-06-16,127.029999,127.849998,126.370003,127.599998,117.915596,31494100,38,1.15760267747521,1
39,2015-06-17,127.720001,127.879997,126.739998,127.300003,117.63838200000001,32918100,39,0.8914599833780127,2
40,2015-06-18,127.230003,128.309998,127.220001,127.879997,118.174355,35407200,40,0.8495027799782296,3
41,2015-06-19,127.709999,127.82,126.400002,126.599998,116.99150800000001,54716900,41,1.1109356908152033,4
42,2015-06-22,127.489998,128.059998,127.08000200000001,127.610001,117.92485,34039300,42,0.7652631698463714,0
43,2015-06-23,127.480003,127.610001,126.879997,127.029999,117.38887,30268900,43,0.5720586116130458,1
44,2015-06-24,127.209999,129.800003,127.120003,128.110001,118.386902,55280900,44,2.0647148983502004,2
45,2015-06-25,128.860001,129.199997,127.5,127.5,117.82321200000001,31938100,45,1.3157871822551175,3
46,2015-06-26,127.66999799999999,127.989998,126.510002,126.75,117.13011200000001,44066800,46,1.1563372319140124,4
47,2015-06-29,125.459999,126.470001,124.480003,124.529999,115.07860600000001,49161400,47,1.5734940968332878,0
48,2015-06-30,125.57,126.120003,124.860001,125.43,115.910301,44370700,48,0.9990500872411175,1
49,2015-07-01,126.900002,126.940002,125.989998,126.599998,116.99150800000001,30238800,49,0.7483882031134732,2
50,2015-07-02,126.43,126.690002,125.769997,126.440002,116.84362800000001,27211000,50,0.7261859542791729,3
51,2015-07-06,124.940002,126.230003,124.849998,126.0,116.43703500000001,28060400,51,1.0932464289016908,0
52,2015-07-07,125.889999,126.150002,123.769997,125.690002,116.150574,46946800,52,1.8866468190781298,1
