,date,id_google,id_facebook,id_amazon,id_apple,mean_variation,portfolio_1,portfolio_2,portfolio_3,mean_volume,mean_variation_friday
0,2015-04-22,0,0,0,0,1.6455302286115125,9989.9423986,9978.1522609,10011.4279451,22067675.0,0.0
1,2015-04-23,1,1,1,1,2.218317678722086,10029.1091381,10013.4412856,10051.647604599999,32915950.0,0.0
2,2015-04-24,2,2,2,2,2.069899743582981,10455.5302354,10639.439263299999,10666.411252099999,24073925.0,8.279598974331924
3,2015-04-27,3,3,3,3,1.862734442533292,10490.2120245,10716.870891300001,10772.8068227,32557275.0,0.0
4,2015-04-28,4,4,4,4,2.311644686973632,10458.057332,10680.1863467,10777.4823903,37082700.0,0.0
5,2015-04-29,5,5,5,5,1.9780121967533157,10224.187006600001,10421.4850111,10486.4670985,23784225.0,0.0
6,2015-04-30,6,6,6,6,2.945656409192993,10184.0949225,10379.6648289,10431.3908141,29481125.0,0.0
7,2015-05-01,7,7,7,7,2.356040675921249,10046.0439119,10241.9949743,10285.360975299998,21995750.0,9.424162703684996
8,2015-05-04,8,8,8,8,1.6163964353581368,10123.378117799999,10333.681008900001,10416.4469447,17314675.0,0.0
9,2015-05-05,9,9,9,9,1.8334837662208145,10059.221109,10271.387036999999,10343.478908599998,18955550.0,0.0
10,2015-05-06,10,10,10,10,2.2405236051186694,9969.0128999,10186.629856399999,10255.9858448,26230875.0,0.0
11,2015-05-07,11,11,11,11,1.7239286904037494,9917.898856200001,10145.664831000002,10206.7688136,17000675.0,0.0
12,2015-05-08,12,12,12,12,1.7094910138381747,10088.9150504,10318.103064800001,10372.3570336,19982600.0,6.837964055352699
13,2015-05-11,13,13,13,13,1.4642476384428096,10103.51511,10351.7350959,10414.991075099999,16052225.0,0.0
14,2015-05-12,14,14,14,14,1.5090319625221498,10009.2638577,10262.535767399999,10320.515769,18256825.0,0.0
15,2015-05-13,15,15,15,15,1.250509509574989,10004.0501301,10258.648164000002,10325.8901852,14863775.0,0.0
16,2015-05-14,16,16,16,16,1.9698236100452633,10077.2773076,10309.4953148,10378.507314,24483475.0,0.0
17,2015-05-15,17,17,17,17,1.4246988117682675,10200.328227799999,10383.5381873,10447.580258499998,17872375.0,5.69879524707307
18,2015-05-18,18,18,18,18,1.4236416294867258,10108.546205999999,10307.365179,10382.651208,19222550.0,0.0
19,2015-05-19,19,19,19,19,1.3823452053210992,10184.2889165,10368.6839222,10462.1619818,16754925.0,0.0
20,2015-05-20,20,20,20,20,1.788242782538129,10140.9340218,10316.1730362,10398.0710482,15784700.0,0.0
21,2015-05-21,21,21,21,21,1.471973421647483,10178.0702552,10387.9472336,10473.323282599998,14679300.0,0.0
22,2015-05-22,22,22,22,22,1.1153217822548211,10245.955094800001,10470.325084,10568.8351236,17090175.0,4.461287129019285
23,2015-05-26,23,23,23,23,1.9000982638012216,10225.3121726,10432.8042455,10546.2883253,22917400.0,0.0
24,2015-05-27,24,24,24,24,1.6037792353885036,10138.614880399999,10362.573959599998,10463.945946,15937550.0,0.0
